primary_type,id,case_number,date,block,iucr,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
BATTERY,13237836,JG456781,2023-10-09T00:00:00.000,014XX E 66TH PL,0496,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,0321,003,5,42,04B,1187010,1861192,2023,2023-10-16T15:44:47.000,41.774217931,-87.590002881,"{'latitude': '41.774217931', 'longitude': '-87.590002881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,9,134,33,60,18,206,3
BATTERY,13237906,JG456968,2023-10-09T00:00:00.000,122XX S CARONDOLET AVE,0460,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0433,004,10,51,08B,1198377,1823935,2023,2023-10-16T15:44:47.000,41.671704449,-87.549577859,"{'latitude': '41.671704449', 'longitude': '-87.549577859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,22250,48,174,47,26,19,259,6
BATTERY,13238948,JG457097,2023-10-09T00:00:00.000,017XX W 80TH ST,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0611,006,17,71,08B,1166319,1851650,2023,2023-10-16T15:44:47.000,41.748499105,-87.66612341,"{'latitude': '41.748499105', 'longitude': '-87.66612341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,574,13,59,20,231,17
ASSAULT,13237371,JG456244,2023-10-08T23:55:00.000,059XX W DIVERSEY AVE,0560,SIMPLE,BAR OR TAVERN,False,False,2514,025,30,19,08A,1136114,1917995,2023,2023-10-16T15:44:47.000,41.931149489,-87.77522735,"{'latitude': '41.931149489', 'longitude': '-87.77522735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22615,19,82,21,2,6,177,30
BATTERY,13237397,JG456262,2023-10-08T23:51:00.000,070XX S SOUTH SHORE DR,0498,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,True,True,0331,003,5,43,04B,1193443,1858795,2023,2023-10-16T15:44:47.000,41.767485391,-87.566499462,"{'latitude': '41.767485391', 'longitude': '-87.566499462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,142,33,24,18,213,3
BATTERY,13237396,JG456250,2023-10-08T23:50:00.000,029XX W MARQUETTE RD,041A,AGGRAVATED - HANDGUN,STREET,False,False,0831,008,15,66,04B,1157727,1860062,2023,2023-10-16T15:44:47.000,41.771761444,-87.697379853,"{'latitude': '41.771761444', 'longitude': '-87.697379853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,21867,64,382,31,58,13,208,15
ASSAULT,13237438,JG456226,2023-10-08T23:50:00.000,010XX W 58TH ST,051A,AGGRAVATED - HANDGUN,APARTMENT,False,True,0712,007,16,68,04A,1170488,1866357,2023,2023-10-16T15:44:47.000,41.788767211,-87.650418831,"{'latitude': '41.788767211', 'longitude': '-87.650418831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21559,66,409,2,11,17,261,16
BATTERY,13237457,JG456249,2023-10-08T23:50:00.000,014XX W 16TH ST,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1233,012,25,31,08B,1167038,1892169,2023,2023-10-16T15:44:47.000,41.859672532,-87.6623296,"{'latitude': '41.859672532', 'longitude': '-87.6623296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14920,29,96,23,43,15,150,28
BATTERY,13237630,JG456251,2023-10-08T23:49:00.000,079XX S GREENWOOD AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0624,006,8,44,08B,1184927,1852648,2023,2023-10-16T15:44:47.000,41.75082153,-87.597906451,"{'latitude': '41.75082153', 'longitude': '-87.597906451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,247,35,61,20,227,10
BATTERY,13237426,JG456231,2023-10-08T23:21:00.000,028XX N HALSTED ST,0460,SIMPLE,STREET,False,False,1933,019,44,6,08B,1170437,1919298,2023,2023-10-16T15:44:47.000,41.934042616,-87.649058688,"{'latitude': '41.934042616', 'longitude': '-87.649058688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,684,25,22,5,30,44
ASSAULT,13237424,JG456212,2023-10-08T23:21:00.000,075XX S SAGINAW AVE,051A,AGGRAVATED - HANDGUN,STREET,False,True,0421,004,7,43,04A,1195237,1855394,2023,2023-10-16T15:44:47.000,41.758108725,-87.560035881,"{'latitude': '41.758108725', 'longitude': '-87.560035881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,245,37,24,19,225,5
BATTERY,13237743,JG456435,2023-10-08T23:20:00.000,056XX W IRVING PARK RD,0460,SIMPLE,RESTAURANT,False,False,1633,016,38,15,08B,1138216,1926036,2023,2023-10-16T15:44:47.000,41.953177006,-87.767307661,"{'latitude': '41.953177006', 'longitude': '-87.767307661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22254,15,311,19,52,12,27,38
BATTERY,13237365,JG456214,2023-10-08T23:20:00.000,032XX W WASHINGTON BLVD,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1123,011,28,27,08B,1154798,1900499,2023,2023-10-16T15:44:47.000,41.882784645,-87.707036121,"{'latitude': '41.882784645', 'longitude': '-87.707036121', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,28,176,23,30,16,86,28
BATTERY,13237459,JG456290,2023-10-08T23:20:00.000,003XX N OGDEN AVE,0486,DOMESTIC BATTERY SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,True,1215,012,27,28,08B,1167230,1902442,2023,2023-10-16T15:44:47.000,41.887858344,-87.661329596,"{'latitude': '41.887858344', 'longitude': '-87.661329596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14917,29,63,46,44,15,78,27
